feature,importance
V61,106.81821870803833
V318,105.42228960990906
D6,103.33311009407043
V54,100.0001289844513
V156,97.49453067779541
V69,97.42065811157227
V44,92.98350954055786
V309,88.80452036857605
V271,87.57604002952576
V319,86.8640296459198
V135,86.35095953941345
V13,84.57494068145752
V132,83.86035060882568
V56,82.5575602054596
V37,81.28425979614258
V55,79.19025158882141
V109,79.16132116317749
V220,77.0802698135376
D7,75.3674488067627
V86,72.30767035484314
V272,72.02536940574646
V219,71.81084990501404
V295,71.20663809776306
V299,69.62535977363586
V41,69.42539072036743
V73,68.9387001991272
V164,68.4923688173294
V293,67.27900052070618
V270,66.76773023605347
V137,66.30313992500305
V261,66.06982970237732
V40,64.94566035270691
V321,63.52103018760681
V284,63.24155855178833
V288,62.92707967758179
V1,62.35887932777405
V213,62.108551025390625
V188,61.94054865837097
id_14,61.316110134124756
V10,60.84098935127258
V77,59.48315918445587
V322,58.24042081832886
V3,57.64362931251526
V277,56.95672059059143
V134,56.38001894950867
D12,55.98745012283325
V290,54.452279806137085
V58,53.731528759002686
V324,53.54743957519531
V29,53.341959714889526
V33,53.31690049171448
V311,52.67824029922485
V136,52.352760553359985
V167,52.31265997886658
V129,52.03317975997925
V206,52.027299761772156
V202,51.23794984817505
V139,51.014660120010376
V66,50.798858404159546
V169,49.89215040206909
V245,48.363609313964844
V170,47.477150201797485
V260,47.06632971763611
V173,45.54607057571411
V332,45.33543062210083
V326,45.01834011077881
V264,44.89195990562439
V36,44.239229917526245
V26,43.873380184173584
V335,43.78701972961426
id_08,43.76617991924286
V267,42.93968963623047
V278,42.8155083656311
V300,41.438220262527466
V85,41.34869933128357
V208,41.336650371551514
V263,41.20144081115723
V207,40.63749980926514
V203,40.63744020462036
V198,40.3343288898468
V232,40.30226016044617
V34,40.29050922393799
V251,40.06260013580322
V265,39.65204977989197
V43,39.51990985870361
V235,39.086411237716675
V31,38.330769538879395
V266,37.79043889045715
V5,37.73716950416565
V50,37.02494955062866
V193,36.38518953323364
V226,36.23432993888855
V279,35.40302038192749
V209,35.31450939178467
V30,33.04167032241821
V274,32.2733895778656
V282,31.86788010597229
V166,31.846920490264893
V97,31.846219778060913
V51,31.735010862350464
V222,31.439820766448975
V11,31.41008996963501
V162,31.123769760131836
V205,30.92081046104431
V2,30.39825987815857
id_07,30.094930171966553
V214,29.73073959350586
V257,29.635051250457764
V298,29.60715079307556
V39,28.27523970603943
V74,28.262940168380737
V211,28.197909355163574
V289,28.011940240859985
V189,27.662630558013916
V64,27.465710163116455
V331,27.030230283737183
C3,26.355180263519287
V323,26.067840576171875
V204,25.74694013595581
V7,25.38638997077942
V184,25.278810501098633
V176,25.106839656829834
id_25,24.626330018043518
V24,24.53949999809265
