feature,importance
V178,79.57113838195801
V338,77.4158992767334
V204,76.82021045684814
id_07,76.61760139465332
id_15,76.06968021392822
V198,75.73699951171875
V188,74.10559940338135
V259,73.465500831604
V77,72.29380226135254
V72,71.43989944458008
V215,67.69552803039551
V128,67.00180053710938
V233,66.83629989624023
V130,66.5979995727539
id_21,65.88510131835938
V161,64.5329008102417
V169,64.15459823608398
V158,63.215999603271484
V75,62.43479919433594
V212,61.59800052642822
V339,61.13679885864258
V142,60.14870071411133
V81,59.79209899902344
V19,58.30870056152344
V33,58.20909881591797
V2,57.16460037231445
V85,56.63900089263916
V289,55.826969623565674
id_26,54.91928815841675
V274,54.17337894439697
V52,53.90117835998535
V79,52.838600158691406
V290,52.643301010131836
id_08,51.89069843292236
V263,50.45487022399902
V99,50.108299255371094
V211,48.22840118408203
V160,47.33979892730713
V205,44.07749938964844
V282,43.940356532111764
V309,43.37933351844549
V179,43.21840000152588
V321,42.72639083862305
V121,42.36759948730469
V245,42.31404161453247
V47,41.923099517822266
id_38,41.62590026855469
V221,40.468499183654785
V86,40.113630294799805
V287,39.70950126647949
id_24,39.10070037841797
id_36,38.803199768066406
V209,38.07109832763672
V98,38.06655979156494
V220,37.361881256103516
V167,36.68840026855469
V182,36.19108009338379
V5,35.297000885009766
V23,33.74840021133423
V153,33.71200180053711
V229,32.017398834228516
V170,31.553499221801758
D7,31.42988085746765
V24,28.63559913635254
V50,27.17300033569336
C7,25.923599243164062
V22,25.53689956665039
V242,25.077899932861328
addr2,24.31920051574707
V223,23.525590419769287
V172,22.720399856567383
V123,22.111299514770508
V175,22.002300262451172
V74,21.62350082397461
V202,21.100799560546875
V224,20.33329963684082
V173,19.936800003051758
V265,18.673239707946777
V231,18.619199752807617
V298,18.4575012922287
V176,18.42009925842285
V135,18.26531982421875
V329,17.908100128173828
V284,17.77199935913086
V88,17.694700241088867
id_23,17.54199981689453
V272,17.298099517822266
V163,16.648500442504883
V6,16.361799240112305
P_email_is_free,16.02669906616211
id_11,16.018699645996094
V80,15.95199966430664
V63,15.791159629821777
V270,15.661110401153564
V253,15.370499610900879
V199,15.154839992523193
V140,15.031999588012695
V171,13.254500389099121
V230,12.697519779205322
V190,12.654199600219727
V300,12.619799613952637
V244,12.555432440713048
M7,12.459600448608398
V17,11.685199737548828
V147,11.443099975585938
V159,10.323830127716064
V46,10.11240005493164
id_25,9.921509742736816
V174,9.840330123901367
V222,9.471559524536133
V114,9.393899917602539
M8,9.123209953308105
V225,9.035510063171387
V39,8.873499870300293
V238,8.77180004119873
V236,8.2635498046875
V247,8.189729690551758
V37,7.879240036010742
V319,7.534860134124756
V297,7.452859878540039
V138,7.3784499168396
V260,7.058849811553955
V26,6.614049911499023
V243,6.4628801345825195
V116,6.085859775543213
V335,5.100900173187256
V59,4.843249797821045
V249,4.6052398681640625
V73,3.777859926223755
V166,2.517400026321411
V255,2.181380033493042
V7,1.7752399444580078
V280,1.3377399444580078
V132,1.0288900136947632
V203,0.7993959784507751
V302,0.21072199940681458
V193,0.19839300215244293
V40,0.0
V331,0.0
V41,0.0
V43,0.0
V42,0.0
V64,0.0
V326,0.0
V327,0.0
V51,0.0
V57,0.0
V328,0.0
V58,0.0
id_10,0.0
V337,0.0
V336,0.0
V334,0.0
V330,0.0
V21,0.0
id_12,0.0
is_rapid_txn,0.0
V11,0.0
V10,0.0
V9,0.0
V4,0.0
V3,0.0
V1,0.0
M1,0.0
id_01_missing,0.0
V32,0.0
id_02_missing,0.0
id_03_missing,0.0
id_04_missing,0.0
id_05_missing,0.0
D4_missing,0.0
D6_missing,0.0
D7_missing,0.0
is_weekend,0.0
V14,0.0
V15,0.0
V16,0.0
id_16,0.0
V31,0.0
V28,0.0
V27,0.0
V25,0.0
id_22,0.0
id_27,0.0
id_28,0.0
id_29,0.0
id_32,0.0
V324,0.0
id_34,0.0
id_35,0.0
id_37,0.0
V18,0.0
V325,0.0
V106,0.0
V65,0.0
V228,0.0
V214,0.0
V146,0.0
V216,0.0
V145,0.0
V144,0.0
V219,0.0
V226,0.0
V141,0.0
V137,0.0
V125,0.0
V235,0.0
V237,0.0
V239,0.0
V240,0.0
V241,0.0
V248,0.0
V250,0.0
V134,0.0
V213,0.0
V148,0.0
V150,0.0
V151,0.0
V177,0.0
V181,0.0
V183,0.0
V184,0.0
V185,0.0
V186,0.0
V191,0.0
V192,0.0
V194,0.0
V195,0.0
V196,0.0
V197,0.0
V200,0.0
V201,0.0
V155,0.0
V154,0.0
V206,0.0
V252,0.0
V124,0.0
V68,0.0
V304,0.0
V292,0.0
V105,0.0
V104,0.0
V295,0.0
V103,0.0
V299,0.0
V101,0.0
V100,0.0
V305,0.0
V122,0.0
V97,0.0
V95,0.0
V93,0.0
V92,0.0
V90,0.0
V89,0.0
V84,0.0
V71,0.0
V107,0.0
V108,0.0
V288,0.0
V286,0.0
V262,0.0
V120,0.0
V264,0.0
V119,0.0
V118,0.0
V268,0.0
V269,0.0
V117,0.0
V273,0.0
V275,0.0
V276,0.0
V278,0.0
V113,0.0
V112,0.0
V111,0.0
V110,0.0
V109,0.0
D8_missing,0.0
